Date Administered,* Jurisdiction,COVID-19 Doses Administered
3/19/2021,Cass,1536
3/18/2021,Cass,635
3/17/2021,Cass,677
3/16/2021,Cass,685
3/15/2021,Cass,205
3/14/2021,Cass,153
3/13/2021,Cass,1271
3/12/2021,Cass,1741
3/11/2021,Cass,1252
3/10/2021,Cass,615
3/9/2021,Cass,894
3/8/2021,Cass,230
3/7/2021,Cass,133
3/6/2021,Cass,209
3/5/2021,Cass,335
3/4/2021,Cass,607
3/3/2021,Cass,864
3/2/2021,Cass,707
3/1/2021,Cass,159
2/28/2021,Cass,128
2/27/2021,Cass,639
2/26/2021,Cass,1317
2/25/2021,Cass,1001
2/24/2021,Cass,1013
2/23/2021,Cass,498
2/22/2021,Cass,296
2/21/2021,Cass,36
2/20/2021,Cass,81
2/19/2021,Cass,172
2/18/2021,Cass,256
2/17/2021,Cass,99
2/16/2021,Cass,266
2/15/2021,Cass,105
2/14/2021,Cass,55
2/13/2021,Cass,489
2/12/2021,Cass,629
2/11/2021,Cass,479
2/10/2021,Cass,279
2/9/2021,Cass,352
2/8/2021,Cass,120
2/7/2021,Cass,12
2/6/2021,Cass,219
2/5/2021,Cass,481
2/4/2021,Cass,270
2/3/2021,Cass,506
2/2/2021,Cass,321
2/1/2021,Cass,284
1/31/2021,Cass,36
1/30/2021,Cass,223
1/29/2021,Cass,610
1/28/2021,Cass,237
1/27/2021,Cass,173
1/26/2021,Cass,284
1/25/2021,Cass,115
1/24/2021,Cass,4
1/23/2021,Cass,152
1/22/2021,Cass,200
1/21/2021,Cass,331
1/20/2021,Cass,491
1/19/2021,Cass,122
1/18/2021,Cass,33
1/16/2021,Cass,20
1/15/2021,Cass,220
1/14/2021,Cass,86
1/13/2021,Cass,192
1/12/2021,Cass,186
1/11/2021,Cass,127
1/10/2021,Cass,4
1/9/2021,Cass,46
1/8/2021,Cass,278
1/7/2021,Cass,219
1/6/2021,Cass,191
1/5/2021,Cass,45
1/4/2021,Cass,76
1/3/2021,Cass,2
1/2/2021,Cass,25
12/31/2020,Cass,164
12/30/2020,Cass,94
12/29/2020,Cass,150
12/28/2020,Cass,63
12/27/2020,Cass,6
12/26/2020,Cass,18
12/24/2020,Cass,39
12/23/2020,Cass,130
12/22/2020,Cass,137
12/21/2020,Cass,72
12/20/2020,Cass,5
12/19/2020,Cass,23
12/18/2020,Cass,66
12/17/2020,Cass,11
12/16/2020,Cass,9
12/15/2020,Cass,5
12/14/2020,Cass,1
4/25/2021,Carter,5
4/24/2021,Carter,3
4/23/2021,Carter,8
4/22/2021,Carter,15
4/21/2021,Carter,12
4/20/2021,Carter,10
4/19/2021,Carter,6
4/18/2021,Carter,3
4/17/2021,Carter,3
4/16/2021,Carter,9
4/15/2021,Carter,34
4/14/2021,Carter,8
4/13/2021,Carter,28
4/12/2021,Carter,16
4/11/2021,Carter,2
4/10/2021,Carter,5
4/9/2021,Carter,31
